?s	?lang1	?lang2
<http://purl.obolibrary.org/obo/LANG_1004640>	"Angami Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004641>	"Liangmai Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004642>	"Ao Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004643>	"Njerep"@en	""
<http://purl.obolibrary.org/obo/LANG_1004644>	"Nisa"@en	""
<http://purl.obolibrary.org/obo/LANG_1004645>	"Ndyuka-Trio Pidgin"@en	""
<http://purl.obolibrary.org/obo/LANG_1004646>	"Ngadjunmaya"@en	""
<http://purl.obolibrary.org/obo/LANG_1004647>	"Kunyi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004648>	"Njyem"@en	""
<http://purl.obolibrary.org/obo/LANG_1004649>	"Nyishi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004650>	"Nkoya"@en	""
<http://purl.obolibrary.org/obo/LANG_1004651>	"Khoibu Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004652>	"Nkongho"@en	""
<http://purl.obolibrary.org/obo/LANG_1004653>	"Koireng"@en	""
<http://purl.obolibrary.org/obo/LANG_1004654>	"Duke"@en	""
<http://purl.obolibrary.org/obo/LANG_1004655>	"Inpui Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004656>	"Nekgini"@en	""
<http://purl.obolibrary.org/obo/LANG_1004657>	"Khezha Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004658>	"Thangal Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004659>	"Nakai"@en	""
<http://purl.obolibrary.org/obo/LANG_1004660>	"Nokuku"@en	""
<http://purl.obolibrary.org/obo/LANG_1004661>	"Namat"@en	""
<http://purl.obolibrary.org/obo/LANG_1004662>	"Nkangala"@en	""
<http://purl.obolibrary.org/obo/LANG_1004663>	"Nkonya"@en	""
<http://purl.obolibrary.org/obo/LANG_1004664>	"Niuatoputapu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004665>	"Nkami"@en	""
<http://purl.obolibrary.org/obo/LANG_1004666>	"Nukuoro"@en	""
<http://purl.obolibrary.org/obo/LANG_1004667>	"North Asmat"@en	""
<http://purl.obolibrary.org/obo/LANG_1004668>	"Nyika (Tanzania)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004669>	"Bouna Kulango"@en	""
<http://purl.obolibrary.org/obo/LANG_1004670>	"Nyika (Malawi and Zambia)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004671>	"Nkutu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004672>	"Nkoroo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004673>	"Nkari"@en	""
<http://purl.obolibrary.org/obo/LANG_1004674>	"Ngombale"@en	""
<http://purl.obolibrary.org/obo/LANG_1004675>	"Nalca"@en	""
<http://purl.obolibrary.org/obo/LANG_1004676>	"Dutch"@en	"Niederländisch"@de
<http://purl.obolibrary.org/obo/LANG_1004677>	"East Nyala"@en	""
<http://purl.obolibrary.org/obo/LANG_1004678>	"Gela"@en	""
<http://purl.obolibrary.org/obo/LANG_1004679>	"Grangali"@en	""
<http://purl.obolibrary.org/obo/LANG_1004680>	"Nyali"@en	""
<http://purl.obolibrary.org/obo/LANG_1004681>	"Ninia Yali"@en	""
<http://purl.obolibrary.org/obo/LANG_1004682>	"Nihali"@en	""
<http://purl.obolibrary.org/obo/LANG_1004683>	"Mankiyali"@en	""
<http://purl.obolibrary.org/obo/LANG_1004684>	"Ngul"@en	""
<http://purl.obolibrary.org/obo/LANG_1004685>	"Lao Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004686>	"Nchumbulu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004687>	"Orizaba Nahuatl"@en	""
<http://purl.obolibrary.org/obo/LANG_1004688>	"Walangama"@en	""
<http://purl.obolibrary.org/obo/LANG_1004689>	"Nahali"@en	""
<http://purl.obolibrary.org/obo/LANG_1004690>	"Nyamal"@en	""
<http://purl.obolibrary.org/obo/LANG_1004691>	"Nalögo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004692>	"Maram Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004693>	"Big Nambas"@en	""
<http://purl.obolibrary.org/obo/LANG_1004694>	"Ngam"@en	""
<http://purl.obolibrary.org/obo/LANG_1004695>	"Ndumu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004696>	"Mzieme Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004697>	"Tangkhul Naga (India)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004698>	"Kwasio"@en	""
<http://purl.obolibrary.org/obo/LANG_1004699>	"Monsang Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004700>	"Nyam"@en	""
<http://purl.obolibrary.org/obo/LANG_1004701>	"Ngombe (Central African Republic)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004702>	"Namakura"@en	""
<http://purl.obolibrary.org/obo/LANG_1004703>	"Ndemli"@en	""
<http://purl.obolibrary.org/obo/LANG_1004704>	"Manangba"@en	""
<http://purl.obolibrary.org/obo/LANG_1004705>	"ǃXóõ"@en	""
<http://purl.obolibrary.org/obo/LANG_1004706>	"Moyon Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004707>	"Nimanbur"@en	""
<http://purl.obolibrary.org/obo/LANG_1004708>	"Nambya"@en	""
<http://purl.obolibrary.org/obo/LANG_1004709>	"Nimbari"@en	""
<http://purl.obolibrary.org/obo/LANG_1004710>	"Letemboi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004711>	"Namonuito"@en	""
<http://purl.obolibrary.org/obo/LANG_1004712>	"Northeast Maidu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004713>	"Ngamini"@en	""
<http://purl.obolibrary.org/obo/LANG_1004714>	"Nimoa"@en	""
<http://purl.obolibrary.org/obo/LANG_1004715>	"Nama (Papua New Guinea)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004716>	"Namuyi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004717>	"Nawdm"@en	""
<http://purl.obolibrary.org/obo/LANG_1004718>	"Nyangumarta"@en	""
<http://purl.obolibrary.org/obo/LANG_1004719>	"Nande"@en	""
<http://purl.obolibrary.org/obo/LANG_1004720>	"Nancere"@en	""
<http://purl.obolibrary.org/obo/LANG_1004721>	"West Ambae"@en	""
<http://purl.obolibrary.org/obo/LANG_1004722>	"Ngandyera"@en	""
<http://purl.obolibrary.org/obo/LANG_1004723>	"Ngaing"@en	""
<http://purl.obolibrary.org/obo/LANG_1004724>	"Maring Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004725>	"Ngiemboon"@en	""
<http://purl.obolibrary.org/obo/LANG_1004726>	"North Nuaulu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004727>	"Nyangatom"@en	""
<http://purl.obolibrary.org/obo/LANG_1004728>	"Nankina"@en	""
<http://purl.obolibrary.org/obo/LANG_1004729>	"Northern Rengma Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004730>	"Namia"@en	""
<http://purl.obolibrary.org/obo/LANG_1004731>	"Ngete"@en	""
<http://purl.obolibrary.org/obo/LANG_1004732>	"Norwegian Nynorsk"@en	"Nynorsk"@de
<http://purl.obolibrary.org/obo/LANG_1004733>	"Wancho Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004734>	"Ngindo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004735>	"Narungga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004736>	"Nanticoke"@en	""
<http://purl.obolibrary.org/obo/LANG_1004737>	"Dwang"@en	""
<http://purl.obolibrary.org/obo/LANG_1004738>	"Nugunu (Australia)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004739>	"Southern Nuni"@en	""
<http://purl.obolibrary.org/obo/LANG_1004740>	"Nyangga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004741>	"Nda'nda'"@en	""
<http://purl.obolibrary.org/obo/LANG_1004742>	"Woun Meu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004743>	"Norwegian Bokmål"@en	"Bokmål"@de
<http://purl.obolibrary.org/obo/LANG_1004744>	"Nuk"@en	""
<http://purl.obolibrary.org/obo/LANG_1004745>	"Northern Thai"@en	""
<http://purl.obolibrary.org/obo/LANG_1004746>	"Nimadi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004747>	"Nomane"@en	""
<http://purl.obolibrary.org/obo/LANG_1004748>	"Nogai"@en	"Nogaisch"@de
<http://purl.obolibrary.org/obo/LANG_1004749>	"Nomu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004750>	"Noiri"@en	""
<http://purl.obolibrary.org/obo/LANG_1004751>	"Nonuya"@en	""
<http://purl.obolibrary.org/obo/LANG_1004752>	"Nooksack"@en	""
<http://purl.obolibrary.org/obo/LANG_1004753>	"Nomlaki"@en	""
<http://purl.obolibrary.org/obo/LANG_1004754>	"Nocamán"@en	""
<http://purl.obolibrary.org/obo/LANG_1004755>	"Old Norse"@en	"Altnorwegisch"@de
<http://purl.obolibrary.org/obo/LANG_1004756>	"Numanggang"@en	""
<http://purl.obolibrary.org/obo/LANG_1004757>	"Ngongo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004758>	"Norwegian"@en	"Norwegisch"@de
<http://purl.obolibrary.org/obo/LANG_1004759>	"Eastern Nisu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004760>	"Nomatsiguenga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004761>	"Ewage-Notu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004762>	"Novial"@en	""
<http://purl.obolibrary.org/obo/LANG_1004763>	"Nyambo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004764>	"Noy"@en	""
<http://purl.obolibrary.org/obo/LANG_1004765>	"Nayi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004766>	"Nar Phu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004767>	"Nupbikha"@en	""
<http://purl.obolibrary.org/obo/LANG_1004768>	"Ponyo-Gongwang Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004769>	"Phom Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004770>	"Nepali (individual language)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004771>	"Southeastern Puebla Nahuatl"@en	""
<http://purl.obolibrary.org/obo/LANG_1004772>	"Mondropolon"@en	""
<http://purl.obolibrary.org/obo/LANG_1004773>	"Pochuri Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004774>	"Nipsan"@en	""
<http://purl.obolibrary.org/obo/LANG_1004775>	"Puimei Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004776>	"Noipx"@en	""
<http://purl.obolibrary.org/obo/LANG_1004777>	"Napu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004778>	"Southern Nago"@en	""
<http://purl.obolibrary.org/obo/LANG_1004779>	"Kura Ede Nago"@en	""
<http://purl.obolibrary.org/obo/LANG_1004780>	"Ngendelengo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004781>	"Ndom"@en	""
<http://purl.obolibrary.org/obo/LANG_1004782>	"Nen"@en	""
<http://purl.obolibrary.org/obo/LANG_1004783>	"N'Ko"@en	"N'Ko"@de
<http://purl.obolibrary.org/obo/LANG_1004784>	"Kyan-Karyaw Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004785>	"Akyaung Ari Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004786>	"Ngom"@en	""
<http://purl.obolibrary.org/obo/LANG_1004787>	"Nara"@en	""
<http://purl.obolibrary.org/obo/LANG_1004788>	"Noric"@en	""
<http://purl.obolibrary.org/obo/LANG_1004789>	"Southern Rengma Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004790>	"Jèrriais"@en	""
<http://purl.obolibrary.org/obo/LANG_1004791>	"Narango"@en	""
<http://purl.obolibrary.org/obo/LANG_1004792>	"Chokri Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004793>	"Ngarla"@en	""
<http://purl.obolibrary.org/obo/LANG_1004794>	"Ngarluma"@en	""
<http://purl.obolibrary.org/obo/LANG_1004795>	"Narom"@en	""
<http://purl.obolibrary.org/obo/LANG_1004796>	"Norn"@en	""
<http://purl.obolibrary.org/obo/LANG_1004797>	"North Picene"@en	""
<http://purl.obolibrary.org/obo/LANG_1004798>	"Norra"@en	""
<http://purl.obolibrary.org/obo/LANG_1004799>	"Northern Kalapuya"@en	""
<http://purl.obolibrary.org/obo/LANG_1004800>	"Narua"@en	""
<http://purl.obolibrary.org/obo/LANG_1004801>	"Ngurmbur"@en	""
<http://purl.obolibrary.org/obo/LANG_1004802>	"Lala"@en	""
<http://purl.obolibrary.org/obo/LANG_1004803>	"Sangtam Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004804>	"Nshi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004805>	"Southern Nisu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004806>	"Nsenga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004807>	"Northwestern Nisu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004808>	"Ngasa"@en	""
<http://purl.obolibrary.org/obo/LANG_1004809>	"Ngoshie"@en	""
<http://purl.obolibrary.org/obo/LANG_1004810>	"Nigerian Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1004811>	"Naskapi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004812>	"Norwegian Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1004813>	"Sumi Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004814>	"Nehan"@en	""
<http://purl.obolibrary.org/obo/LANG_1004815>	"Pedi"@en	"Pedi-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1004816>	"Nepalese Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1004817>	"Northern Sierra Miwok"@en	""
<http://purl.obolibrary.org/obo/LANG_1004818>	"Maritime Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1004819>	"Nali"@en	""
<http://purl.obolibrary.org/obo/LANG_1004820>	"Tase Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004821>	"Sierra Negra Nahuatl"@en	""
<http://purl.obolibrary.org/obo/LANG_1004822>	"Southwestern Nisu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004823>	"Navut"@en	""
<http://purl.obolibrary.org/obo/LANG_1004824>	"Nsongo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004825>	"Nasal"@en	""
<http://purl.obolibrary.org/obo/LANG_1004826>	"Nisenan"@en	""
<http://purl.obolibrary.org/obo/LANG_1004827>	"Northern Tidung"@en	""
<http://purl.obolibrary.org/obo/LANG_1004828>	"Nathembo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004829>	"Ngantangarra"@en	""
<http://purl.obolibrary.org/obo/LANG_1004830>	"Natioro"@en	""
<http://purl.obolibrary.org/obo/LANG_1004831>	"Ngaanyatjarra"@en	""
<http://purl.obolibrary.org/obo/LANG_1004832>	"Ikoma-Nata-Isenye"@en	""
<http://purl.obolibrary.org/obo/LANG_1004833>	"Nateni"@en	""
<http://purl.obolibrary.org/obo/LANG_1004834>	"Ntomba"@en	""
<http://purl.obolibrary.org/obo/LANG_1004835>	"Northern Tepehuan"@en	""
<http://purl.obolibrary.org/obo/LANG_1004836>	"Delo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004837>	"Natügu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004838>	"Nottoway"@en	""
<http://purl.obolibrary.org/obo/LANG_1004839>	"Tangkhul Naga (Myanmar)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004840>	"Mantsi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004841>	"Natanzi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004842>	"Yuanga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004843>	"Nukuini"@en	""
<http://purl.obolibrary.org/obo/LANG_1004844>	"Ngala"@en	""
<http://purl.obolibrary.org/obo/LANG_1004845>	"Ngundu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004846>	"Nusu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004847>	"Nungali"@en	""
<http://purl.obolibrary.org/obo/LANG_1004848>	"Ndunda"@en	""
<http://purl.obolibrary.org/obo/LANG_1004849>	"Ngumbi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004850>	"Nyole"@en	""
<http://purl.obolibrary.org/obo/LANG_1004851>	"Nuu-chah-nulth"@en	""
<http://purl.obolibrary.org/obo/LANG_1004852>	"Nusa Laut"@en	""
<http://purl.obolibrary.org/obo/LANG_1004853>	"Niuafo'ou"@en	""
<http://purl.obolibrary.org/obo/LANG_1004854>	"Anong"@en	""
<http://purl.obolibrary.org/obo/LANG_1004855>	"Nguôn"@en	""
<http://purl.obolibrary.org/obo/LANG_1004856>	"Nupe-Nupe-Tako"@en	""
<http://purl.obolibrary.org/obo/LANG_1004857>	"Nukumanu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004858>	"Nukuria"@en	""
<http://purl.obolibrary.org/obo/LANG_1004859>	"Nuer"@en	""
<http://purl.obolibrary.org/obo/LANG_1004860>	"Nung (Viet Nam)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004861>	"Ngbundu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004862>	"Northern Nuni"@en	""
<http://purl.obolibrary.org/obo/LANG_1004863>	"Nguluwan"@en	""
<http://purl.obolibrary.org/obo/LANG_1004864>	"Mehek"@en	""
<http://purl.obolibrary.org/obo/LANG_1004865>	"Nunggubuyu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004866>	"Tlamacazapa Nahuatl"@en	""
<http://purl.obolibrary.org/obo/LANG_1004867>	"Nasarian"@en	""
<http://purl.obolibrary.org/obo/LANG_1004868>	"Namiae"@en	""
<http://purl.obolibrary.org/obo/LANG_1004869>	"Nyokon"@en	""
<http://purl.obolibrary.org/obo/LANG_1004870>	"Nawathinehena"@en	""
<http://purl.obolibrary.org/obo/LANG_1004871>	"Nyabwa"@en	""
<http://purl.obolibrary.org/obo/LANG_1004872>	"Classical Newari"@en	"Alt-Newari"@de
<http://purl.obolibrary.org/obo/LANG_1004873>	"Ngwe"@en	""
<http://purl.obolibrary.org/obo/LANG_1004874>	"Ngayawung"@en	""
<http://purl.obolibrary.org/obo/LANG_1004875>	"Southwest Tanna"@en	""
<http://purl.obolibrary.org/obo/LANG_1004876>	"Nyamusa-Molo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004877>	"Nauo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004878>	"Nawaru"@en	""
<http://purl.obolibrary.org/obo/LANG_1004879>	"Middle Newar"@en	""
<http://purl.obolibrary.org/obo/LANG_1004880>	"Nottoway-Meherrin"@en	""
<http://purl.obolibrary.org/obo/LANG_1004881>	"Nauete"@en	""
<http://purl.obolibrary.org/obo/LANG_1004882>	"Ngando (Democratic Republic of Congo)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004883>	"Nage"@en	""
<http://purl.obolibrary.org/obo/LANG_1004884>	"Ngad'a"@en	""
<http://purl.obolibrary.org/obo/LANG_1004885>	"Nindi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004886>	"Koki Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004887>	"South Nuaulu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004888>	"Numidian"@en	""
<http://purl.obolibrary.org/obo/LANG_1004889>	"Ngawun"@en	""
<http://purl.obolibrary.org/obo/LANG_1004890>	"Ndambomo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004891>	"Naxi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004892>	"Ninggerum"@en	""
<http://purl.obolibrary.org/obo/LANG_1004893>	"Narau"@en	""
<http://purl.obolibrary.org/obo/LANG_1004894>	"Nafri"@en	""
<http://purl.obolibrary.org/obo/LANG_1004895>	"Nyanja"@en	"Nyanja-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1004896>	"Nyangbo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004897>	"Nyanga-li"@en	""
<http://purl.obolibrary.org/obo/LANG_1004898>	"Nyore"@en	""
<http://purl.obolibrary.org/obo/LANG_1004899>	"Nyengo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004900>	"Giryama"@en	""
<http://purl.obolibrary.org/obo/LANG_1004901>	"Nyindu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004902>	"Nyikina"@en	""
<http://purl.obolibrary.org/obo/LANG_1004903>	"Ama (Sudan)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004904>	"Nyanga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004905>	"Nyaneka"@en	""
<http://purl.obolibrary.org/obo/LANG_1004906>	"Nyeu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004907>	"Nyamwezi"@en	"Nyamwezi-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1004908>	"Nyankole"@en	"Nkole-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1004909>	"Nyoro"@en	"Nyoro-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1004910>	"Nyang'i"@en	""
<http://purl.obolibrary.org/obo/LANG_1004911>	"Nayini"@en	""
<http://purl.obolibrary.org/obo/LANG_1004912>	"Nyiha (Malawi)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004913>	"Nyungar"@en	""
<http://purl.obolibrary.org/obo/LANG_1004914>	"Nyawaygi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004915>	"Nyungwe"@en	""
<http://purl.obolibrary.org/obo/LANG_1004916>	"Nyulnyul"@en	""
<http://purl.obolibrary.org/obo/LANG_1004917>	"Nyaw"@en	""
<http://purl.obolibrary.org/obo/LANG_1004918>	"Nganyaywana"@en	""
<http://purl.obolibrary.org/obo/LANG_1004919>	"Nyakyusa-Ngonde"@en	""
<http://purl.obolibrary.org/obo/LANG_1004920>	"Tigon Mbembe"@en	""
<http://purl.obolibrary.org/obo/LANG_1004921>	"Njebi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004922>	"Nzadi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004923>	"Nzima"@en	"Nzima-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1004924>	"Nzakara"@en	""
<http://purl.obolibrary.org/obo/LANG_1004925>	"Zeme Naga"@en	""
<http://purl.obolibrary.org/obo/LANG_1004926>	"New Zealand Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1004927>	"Teke-Nzikou"@en	""
<http://purl.obolibrary.org/obo/LANG_1004928>	"Nzakambay"@en	""
<http://purl.obolibrary.org/obo/LANG_1004929>	"Nanga Dama Dogon"@en	""
<http://purl.obolibrary.org/obo/LANG_1004930>	"Orok"@en	""
<http://purl.obolibrary.org/obo/LANG_1004931>	"Oroch"@en	""
<http://purl.obolibrary.org/obo/LANG_1004932>	"Old Aramaic (up to 700 BCE)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004933>	"Old Avar"@en	""
<http://purl.obolibrary.org/obo/LANG_1004934>	"Obispeño"@en	""
<http://purl.obolibrary.org/obo/LANG_1004935>	"Southern Bontok"@en	""
<http://purl.obolibrary.org/obo/LANG_1004936>	"Oblo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004937>	"Moabite"@en	""
<http://purl.obolibrary.org/obo/LANG_1004938>	"Obo Manobo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004939>	"Old Burmese"@en	""
<http://purl.obolibrary.org/obo/LANG_1004940>	"Old Breton"@en	""
<http://purl.obolibrary.org/obo/LANG_1004941>	"Obulom"@en	""
<http://purl.obolibrary.org/obo/LANG_1004942>	"Ocaina"@en	""
<http://purl.obolibrary.org/obo/LANG_1004943>	"Old Chinese"@en	""
<http://purl.obolibrary.org/obo/LANG_1004944>	"Occitan (post 1500)"@en	"Okzitanisch"@de
<http://purl.obolibrary.org/obo/LANG_1004945>	"Old Cornish"@en	""
<http://purl.obolibrary.org/obo/LANG_1004946>	"Atzingo Matlatzinca"@en	""
<http://purl.obolibrary.org/obo/LANG_1004947>	"Odut"@en	""
<http://purl.obolibrary.org/obo/LANG_1004948>	"Od"@en	""
<http://purl.obolibrary.org/obo/LANG_1004949>	"Old Dutch"@en	""
<http://purl.obolibrary.org/obo/LANG_1004950>	"Odual"@en	""
<http://purl.obolibrary.org/obo/LANG_1004951>	"Ofo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004952>	"Old Frisian"@en	""
<http://purl.obolibrary.org/obo/LANG_1004953>	"Efutop"@en	""
<http://purl.obolibrary.org/obo/LANG_1004954>	"Ogbia"@en	""
<http://purl.obolibrary.org/obo/LANG_1004955>	"Ogbah"@en	""
<http://purl.obolibrary.org/obo/LANG_1004956>	"Old Georgian"@en	""
<http://purl.obolibrary.org/obo/LANG_1004957>	"Ogbogolo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004958>	"Khana"@en	""
<http://purl.obolibrary.org/obo/LANG_1004959>	"Ogbronuagum"@en	""
<http://purl.obolibrary.org/obo/LANG_1004960>	"Old Hittite"@en	""
<http://purl.obolibrary.org/obo/LANG_1004961>	"Old Hungarian"@en	""
<http://purl.obolibrary.org/obo/LANG_1004962>	"Oirata"@en	""
<http://purl.obolibrary.org/obo/LANG_1004963>	"Inebu One"@en	""
<http://purl.obolibrary.org/obo/LANG_1004964>	"Northwestern Ojibwa"@en	""
<http://purl.obolibrary.org/obo/LANG_1004965>	"Central Ojibwa"@en	""
<http://purl.obolibrary.org/obo/LANG_1004966>	"Eastern Ojibwa"@en	""
<http://purl.obolibrary.org/obo/LANG_1004967>	"Ojibwa"@en	"Ojibwa-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1004968>	"Old Japanese"@en	""
<http://purl.obolibrary.org/obo/LANG_1004969>	"Severn Ojibwa"@en	""
<http://purl.obolibrary.org/obo/LANG_1004970>	"Ontong Java"@en	""
<http://purl.obolibrary.org/obo/LANG_1004971>	"Western Ojibwa"@en	""
<http://purl.obolibrary.org/obo/LANG_1004972>	"Okanagan"@en	""
<http://purl.obolibrary.org/obo/LANG_1004973>	"Okobo"@en	""
<http://purl.obolibrary.org/obo/LANG_1004974>	"Okodia"@en	""
<http://purl.obolibrary.org/obo/LANG_1004975>	"Okpe (Southwestern Edo)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004976>	"Koko Babangk"@en	""
<http://purl.obolibrary.org/obo/LANG_1004977>	"Koresh-e Rostam"@en	""
<http://purl.obolibrary.org/obo/LANG_1004978>	"Okiek"@en	""
<http://purl.obolibrary.org/obo/LANG_1004979>	"Oko-Juwoi"@en	""
<http://purl.obolibrary.org/obo/LANG_1004980>	"Kwamtim One"@en	""
<http://purl.obolibrary.org/obo/LANG_1004981>	"Old Kentish Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1004982>	"Middle Korean (10th-16th cent.)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004983>	"Oki-No-Erabu"@en	""
<http://purl.obolibrary.org/obo/LANG_1004984>	"Old Korean (3rd-9th cent.)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004985>	"Kirike"@en	""
<http://purl.obolibrary.org/obo/LANG_1004986>	"Oko-Eni-Osayen"@en	""
<http://purl.obolibrary.org/obo/LANG_1004987>	"Oku"@en	""
<http://purl.obolibrary.org/obo/LANG_1004988>	"Orokaiva"@en	""
<http://purl.obolibrary.org/obo/LANG_1004989>	"Okpe (Northwestern Edo)"@en	""
<http://purl.obolibrary.org/obo/LANG_1004990>	"Walungge"@en	""
